OBJECTID,Inverter,Row,Table_,UPN,Drive_Time_MIN,Drive_Time_SEC,As_Built_Northing,Design_Northing,Top_of_P_in_Northing_Tolerance,As_Built_Easting,Design_Easting,Easting_In_Tolerance,As_Built_Top_Elev,Design_Elevation,Pile_Length,As_Built_Reveal_ft,Design_Min_Reveal_ft,Design_Max_Reveal_ft,Reveal_in_Spec,As_Built_Embed,Design_Min_Embed,Min_Embd_Met,Pile_Twist,Twist_in_Tol,East_deg_Lean,North_Deg_Lean,Remediation_Complete,Remediation_Type,N_Dy,E_Dx,Elv_Dz,GlobalID,CreationDate,Creator,EditDate,Editor,Letter,Color,Damper,Pile_Type,Table_Ready_for_Racking,Symbology,Tracker_Slope_Deg,Cumulative_Slope,Pile_Installed,Elevation_In_Tolerance,East_Deg_Lean_In_Spec,North_Deg_Lean_in_Spec,Remediation_Approved,Pull_Test_Passed,Is_Pull_Test_Needed,Remediation_Performed,Random_Pull_Test,Cumulative_Tracker_Slope_in_Spe,Date_Installed,Date_of_Pull_Test,Date_of_Random_Pull_Test,Date_Remediation_Completed,Date_Remediation_Approved,Display,Drive_Finished_At,Drive_Machine,Hammering_Status,Hammering_Flag,Design_Bottom_of_Pile,Remediation_Reccomendation,Symbology_S02,UFN,Num_Helicals_In_Frame,Helical_Oreintation,Helical_PIle_Position,Frame_Des_Northing,Frame_Des_Easting,Frame_Des_Elv,Helical_or_W_Section,Helical_Clocking,Pile_Size,Pile_Shape,Phots_Needed,Symbology_3
47117,2,0,0,500007,1.0,18.0,374002.575,374002.519,Yes,2266193.646,2266193.675,Yes,852.011,848.5401,19.5,852.011,,3.5,No,-832.511,16.0,No,-1.36,Yes,89.88410478,90.44908541,,,-0.6720000004861504,0.3479999955743551,,{ff42a9c9-b1d6-43ca-9f01-ca7865e12107},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,2026-01-05T12:38:56.938,Doyle-2500-007_-_Machine_8,COMPLETED,OTHER,,"Field verify – Embedment below minimum by 848.51 ft – if remediation not possible, Remove & CIP",,,,,,,,,,,,,,0
47118,2,0,0,500008,,,,374002.519,No,,2266186.175,No,,848.5401,27.5,,,3.5,,,24.0,,0.0,Yes,,,,,4488030.228,27194234.099999998,,{6eb7f38a-8a57-4cdd-b1b6-23e7e0845610},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,0
47119,2,0,0,500009,,,,374002.519,No,,2266180.925,No,,848.5401,27.5,,,3.5,,,24.0,,0.0,Yes,,,,,4488030.228,27194171.099999998,,{7bfefe79-292c-4434-8ab6-c45430690c64},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,0
47120,2,0,0,500010,,,,374002.519,No,,2266175.675,No,,848.5401,27.5,,,3.5,,,24.0,,0.0,Yes,,,,,4488030.228,27194108.099999998,,{d335319d-1df1-4cb7-bc33-a59660fdaf69},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,0
47121,2,0,0,500011,1.0,30.0,373998.984,373998.905,Yes,2266166.67,2266166.758,Yes,852.514,848.5401,19.5,852.514,,3.5,No,-833.014,16.0,No,0.41,Yes,90.07033605,90.68926044,,,-0.9479999996256083,1.0559999998658895,,{539b1fce-9974-4b95-ab0f-d0d8733276fc},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,2026-01-05T11:34:35.313,Doyle-2500-007_-_Machine_8,COMPLETED,OTHER,,"Field verify – Embedment below minimum by 849.01 ft – if remediation not possible, Remove & CIP",,,,,,,,,,,,,,0
47122,2,0,0,500012,1.0,43.0,374002.674,374002.519,Yes,2266166.737,2266166.758,Yes,852.445,848.5401,19.5,852.445,,3.5,No,-832.945,16.0,No,-1.28,Yes,89.81748527,90.92653561,,,-1.8600000003352761,0.25199999660253525,,{79bda1b5-02e1-4819-9856-e3ce379192ba},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,2026-01-05T12:46:22.047,Doyle-2500-007_-_Machine_8,COMPLETED,OTHER,,"Field verify – Embedment below minimum by 848.95 ft – if remediation not possible, Remove & CIP",,,,,,,,,,,,,,0
47123,14,0,0,500013,,,,367373.989,No,,2261786.666,No,,910.5245,19.5,,1.0,3.5,,,16.0,,,Yes,,,,,4408487.868,27141439.992000002,,{760f7b75-9554-4b69-a6bd-5379f2d1472b},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,2026-01-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0
47124,14,0,0,500014,,,,367373.989,No,,2261795.583,No,,910.5245,27.5,,1.0,3.5,,,24.0,,,Yes,,,,,4408487.868,27141546.996,,{b9d13127-c045-4f95-9c34-8180f3cb2232},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,2026-01-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0
47125,14,0,0,500015,,,,367373.989,No,,2261800.833,No,,910.5245,27.5,,1.0,3.5,,,24.0,,,Yes,,,,,4408487.868,27141609.996,,{a3647cb5-63a6-4bcd-8a2a-8bdd47189052},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,2026-01-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0
47126,14,0,0,500016,,,,367373.989,No,,2261806.083,No,,910.5245,27.5,,1.0,3.5,,,24.0,,,Yes,,,,,4408487.868,27141672.996,,{c2e87b50-00c5-4e6e-86c4-6e426081c4aa},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 21:17:51,Boldtpersonnel_boldt,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,Passed,Yes,2026-02-24 06:00:00,,2026-02-24 06:00:00,,,Random Pull Test,,,,,,,,,,,,,,,,,,,,0
47127,14,0,0,500017,,,,367373.989,No,,2261813.583,No,,910.5245,19.5,,1.0,3.5,,,16.0,,,Yes,,,,,4408487.868,27141762.996,,{579cdf42-d706-4bda-af6b-71055dde3ab8},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,2026-01-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0
47128,14,0,0,500018,,,,367373.989,No,,2261819.583,No,,910.5245,19.5,,1.0,3.5,,,16.0,,,Yes,,,,,4408487.868,27141834.996,,{de94c08d-c726-4879-a731-3129b0a1e3e1},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,2026-01-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0
47129,14,0,0,500019,,,,367377.604,No,,2261819.583,No,,910.5245,19.5,,1.0,3.5,,,16.0,,,Yes,,,,,4408531.248,27141834.996,,{5d01de1c-a59d-4929-9139-18674eae6ae7},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,2026-01-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0
47130,14,0,0,500020,,,,367377.604,No,,2261813.583,No,,910.5245,19.5,,1.0,3.5,,,16.0,,,Yes,,,,,4408531.248,27141762.996,,{d5618c83-b58e-4e14-8793-a7a466868803},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,2026-01-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0
47131,14,0,0,500021,,,,367377.604,No,,2261806.083,No,,910.5245,27.5,,1.0,3.5,,,24.0,,,Yes,,,,,4408531.248,27141672.996,,{a1cec615-5468-41fa-aac3-c67d0454cfa4},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,2026-01-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0
47132,14,0,0,500022,,,,367377.604,No,,2261800.833,No,,910.5245,27.5,,1.0,3.5,,,24.0,,,Yes,,,,,4408531.248,27141609.996,,{dbc884de-4faf-42c4-8ad9-b4f83714dfe1},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,2026-01-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0
47133,14,0,0,500023,,,,367377.604,No,,2261795.583,No,,910.5245,27.5,,1.0,3.5,,,24.0,,,Yes,,,,,4408531.248,27141546.996,,{a77d167a-cec2-45e7-882d-414549459412},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,2026-01-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0
47134,14,0,0,500024,,,,367377.604,No,,2261786.666,No,,910.5245,19.5,,1.0,3.5,,,16.0,,,Yes,,,,,4408531.248,27141439.992000002,,{657634aa-5786-4040-8b5c-38ea83b9532e},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,2026-01-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0
47135,15,0,0,500025,,,,367377.604,No,,2262196.166,No,,908.5164,19.5,,1.0,3.5,,,16.0,,,Yes,,,,,4408531.248,27146353.992000002,,{a61d0c81-9814-4b6e-9c13-6d469f84ea19},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,2026-01-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0
47136,15,0,0,500026,,,,367377.604,No,,2262205.083,No,,908.5164,27.5,,1.0,3.5,,,24.0,,,Yes,,,,,4408531.248,27146460.996,,{e4de8cc3-75c7-4f13-8780-33f53a417f83},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,2026-01-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0
47137,15,0,0,500027,,,,367377.604,No,,2262210.333,No,,908.5164,27.5,,1.0,3.5,,,24.0,,,Yes,,,,,4408531.248,27146523.996,,{700e6678-6460-4806-97a6-a1bbb2d0671a},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 19:29:36,Boldtpersonnel_boldt,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,Passed,Yes,2026-02-24 06:00:00,,2026-02-24 06:00:00,,,Random Pull Test,,,,,,,,,,,,,,,,,,,,0
47138,15,0,0,500028,,,,367377.604,No,,2262215.583,No,,908.5164,27.5,,1.0,3.5,,,24.0,,,Yes,,,,,4408531.248,27146586.996,,{90058d3d-52b0-4616-b190-9bae3e149214},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,2026-01-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0
47139,15,0,0,500029,,,,367377.604,No,,2262223.083,No,,908.5164,19.5,,1.0,3.5,,,16.0,,,Yes,,,,,4408531.248,27146676.996,,{4d9fa05d-49da-4103-8fad-e5f58f14fd0c},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,2026-01-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0
47140,15,0,0,500030,,,,367373.989,No,,2262196.166,No,,908.5164,19.5,,1.0,3.5,,,16.0,,,Yes,,,,,4408487.868,27146353.992000002,,{f55e86e1-c5be-4533-8402-9156aba2aaaa},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 19:00:59,Boldtpersonnel_boldt,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,Passed,Yes,2026-02-24 06:00:00,,2026-02-24 06:00:00,,,Random Pull Test,,,,,,,,,,,,,,,,,,,,0
47141,15,0,0,500031,,,,367373.989,No,,2262205.083,No,,908.5164,27.5,,1.0,3.5,,,24.0,,,Yes,,,,,4408487.868,27146460.996,,{a0772421-9ad7-492a-80a0-1e59659370cb},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,2026-01-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0
47142,15,0,0,500032,,,,367373.989,No,,2262210.333,No,,908.5164,27.5,,1.0,3.5,,,24.0,,,Yes,,,,,4408487.868,27146523.996,,{1e9a087c-bb7c-4f8f-8387-e07ed686e4f9},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,2026-01-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0
47143,15,0,0,500033,,,,367373.989,No,,2262215.583,No,,908.5164,27.5,,1.0,3.5,,,24.0,,,Yes,,,,,4408487.868,27146586.996,,{8c7f553f-b5f7-4c73-9ebe-89245854bf20},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 17:53:41,Boldtpersonnel_boldt,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,Passed,Yes,2026-02-24 06:00:00,,2026-02-24 06:00:00,,,Random Pull Test,,,,,,,,,,,,,,,,,,,,0
47144,15,0,0,500034,,,,367373.989,No,,2262223.083,No,,908.5164,19.5,,1.0,3.5,,,16.0,,,Yes,,,,,4408487.868,27146676.996,,{38733100-f30a-4a9d-b4dc-d473e58a14a4},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,2026-01-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0
